listing_id,price,log_price,vehicle_brand,vehicle_model,vehicle_model_year,vehicle_age,vehicle_mileage_km,is_mileage_missing,vehicle_engine_cc,is_engine_cc_missing,vehicle_fuel_type,vehicle_transmission,vehicle_color,vehicle_condition,is_plate_number,brand_category,province,location_tier,seller_type,initial_price,price_drop_amount,has_price_drop,price_increase_amount,has_price_increase,days_on_market,view_velocity,has_full_option,is_urgent_sale,scraped_at
13821221,21900.0,9.994287576862567,Ford,Everest,2017,9,100000.0,1,2000.0,1,Diesel,Automatic,Red,used,1,Mass_Market,Phnom Penh,Tier_1,store,21900.0,0.0,0,0.0,0,27.8,0.0,0,1,2026-08-25 10:25:58.025856+00
13421170,52800.0,10.874285408908944,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,Silver,used,1,Mass_Market,Phnom Penh,Tier_1,store,52800.0,0.0,0,0.0,0,121.7,0.0,1,0,2026-08-21 02:53:17.470364+00
13835991,49500.0,10.809748150372926,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,White,used,1,Mass_Market,Kratie,Tier_3,individual,49500.0,0.0,0,0.0,0,23.9,0.0,0,0,2026-08-25 10:28:32.480298+00
13435180,54900.0,10.91328684226798,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,Grey,used,1,Mass_Market,Phnom Penh,Tier_1,store,54900.0,0.0,0,0.0,0,123.7,0.0,0,0,2026-08-26 03:03:14.889742+00
13866039,49800.0,10.815790343132422,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,White,used,1,Mass_Market,Phnom Penh,Tier_1,store,49800.0,0.0,0,0.0,0,16.7,0.0,1,0,2026-08-26 03:10:07.479873+00
13785798,49500.0,10.809748150372926,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,White,used,1,Mass_Market,Phnom Penh,Tier_1,individual,49500.0,0.0,0,0.0,0,34.7,0.0,0,1,2026-08-23 02:53:12.303868+00
13643083,56800.0,10.947309210188068,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,Black,used,1,Mass_Market,Phnom Penh,Tier_1,store,56800.0,0.0,0,0.0,0,73.7,0.0,0,0,2026-08-26 03:07:01.720931+00
13842288,56800.0,10.947309210188068,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,Grey,used,1,Mass_Market,Phnom Penh,Tier_1,store,56800.0,0.0,0,0.0,0,19.7,0.0,1,0,2026-08-23 02:52:51.992048+00
13565588,52500.0,10.868587496017359,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,White,used,1,Mass_Market,Phnom Penh,Tier_1,store,52900.0,400.0,1,0.0,0,93.8,0.0,0,0,2026-08-27 12:14:50.069184+00
13876159,47500.0,10.768506042432708,Ford,Everest,2023,3,100000.0,1,2000.0,1,Petrol,Automatic,Unknown,used,1,Mass_Market,Kandal,Tier_2,store,47500.0,0.0,0,0.0,0,6.4,0.0,0,0,2026-08-18 10:18:56.72048+00
13751369,53800.0,10.893047333337728,Ford,Everest,2023,3,100000.0,1,2000.0,1,Diesel,Automatic,Black,used,1,Mass_Market,Phnom Penh,Tier_1,store,53800.0,0.0,0,0.0,0,41.7,0.0,0,0,2026-08-21 02:53:21.102566+00
13816482,49000.0,10.799595985047786,Ford,Everest,2023,3,100000.0,1,2000.0,1,Petrol,Automatic,Grey,used,1,Mass_Market,Phnom Penh,Tier_1,store,49000.0,0.0,0,0.0,0,25.5,0.0,0,0,2026-08-22 02:44:52.993644+00
13719380,36300.0,10.499600568082863,Ford,Everest,2020,6,100000.0,1,2000.0,1,Diesel,Automatic,White,used,1,Mass_Market,Phnom Penh,Tier_1,individual,36300.0,0.0,0,0.0,0,54.0,0.0,1,0,2026-08-25 10:16:57.234513+00
13907365,26000.0,10.165890277802454,jaguar,F-Type,2015,11,100000.0,1,2000.0,1,Petrol,Automatic,White,used,1,Other,Preah Sihanouk,Tier_2,store,26000.0,0.0,0,0.0,0,7.1,0.0,0,0,2026-08-27 12:14:41.251486+00
13674017,50000.0,10.819798284210286,Jaguar,F-Type,2020,6,100000.0,1,2000.0,1,Petrol,Automatic,Silver,used,1,Other,Phnom Penh,Tier_1,store,50000.0,0.0,0,0.0,0,60.7,0.0,0,0,2026-08-21 02:53:12.553471+00
13813535,39000.0,10.571342565808699,Jeep,Gladiator,2020,6,100000.0,1,2000.0,1,Petrol,Automatic,Red,used,1,Mass_Market,Phnom Penh,Tier_1,individual,39500.0,500.0,1,0.0,0,29.7,0.0,1,0,2026-08-25 10:29:49.296308+00
13245154,135000.0,11.813037464800539,Jeep,Gladiator,2021,5,100000.0,1,2000.0,1,Petrol,Automatic,Other,used,1,Mass_Market,Phnom Penh,Tier_1,individual,135000.0,0.0,0,0.0,0,176.9,0.0,0,0,2026-08-27 12:19:24.406722+00
13626311,45000.0,10.714439990727769,Jeep,Gladiator,2021,5,100000.0,1,2000.0,1,Petrol,Automatic,Black,used,1,Mass_Market,Banteay Meanchey,Tier_3,individual,45000.0,0.0,0,0.0,0,76.9,0.0,0,0,2026-08-25 10:18:42.460539+00
